onset	duration	trial_type	value	sample
8.956	0.0	Marker/1.0	2	2239
9.86	0.0	Marker/1.0	2	2465
10.784	0.0	Marker/0.0	1	2696
11.692	0.0	Marker/1.0	2	2923
12.6	0.0	Marker/0.0	1	3150
13.504	0.0	Marker/0.0	1	3376
14.408	0.0	Marker/0.0	1	3602
15.316	0.0	Marker/1.0	2	3829
16.224	0.0	Marker/0.0	1	4056
17.136	0.0	Marker/1.0	2	4284
18.044	0.0	Marker/0.0	1	4511
18.952	0.0	Marker/0.0	1	4738
19.852	0.0	Marker/0.0	1	4963
20.764	0.0	Marker/0.0	1	5191
21.668	0.0	Marker/0.0	1	5417
22.576	0.0	Marker/0.0	1	5644
23.484	0.0	Marker/1.0	2	5871
24.392	0.0	Marker/0.0	1	6098
25.3	0.0	Marker/1.0	2	6325
26.208	0.0	Marker/0.0	1	6552
27.108	0.0	Marker/0.0	1	6777
28.02	0.0	Marker/0.0	1	7005
28.932	0.0	Marker/1.0	2	7233
29.828	0.0	Marker/0.0	1	7457
30.74	0.0	Marker/1.0	2	7685
31.648	0.0	Marker/0.0	1	7912
32.556	0.0	Marker/0.0	1	8139
33.46	0.0	Marker/0.0	1	8365
34.368	0.0	Marker/0.0	1	8592
35.276	0.0	Marker/0.0	1	8819
36.168	0.0	Marker/0.0	1	9042
37.08	0.0	Marker/0.0	1	9270
37.984	0.0	Marker/0.0	1	9496
38.892	0.0	Marker/0.0	1	9723
39.796	0.0	Marker/0.0	1	9949
40.704	0.0	Marker/1.0	2	10176
41.608	0.0	Marker/1.0	2	10402
42.516	0.0	Marker/0.0	1	10629
43.42	0.0	Marker/0.0	1	10855
44.332	0.0	Marker/1.0	2	11083
45.236	0.0	Marker/0.0	1	11309
46.144	0.0	Marker/1.0	2	11536
47.052	0.0	Marker/0.0	1	11763
47.96	0.0	Marker/1.0	2	11990
48.864	0.0	Marker/0.0	1	12216
49.772	0.0	Marker/0.0	1	12443
50.68	0.0	Marker/0.0	1	12670
51.584	0.0	Marker/0.0	1	12896
52.492	0.0	Marker/0.0	1	13123
53.396	0.0	Marker/0.0	1	13349
54.304	0.0	Marker/0.0	1	13576
55.212	0.0	Marker/0.0	1	13803
56.12	0.0	Marker/0.0	1	14030
57.024	0.0	Marker/1.0	2	14256
57.932	0.0	Marker/0.0	1	14483
58.836	0.0	Marker/0.0	1	14709
59.74	0.0	Marker/0.0	1	14935
60.644	0.0	Marker/0.0	1	15161
61.56	0.0	Marker/0.0	1	15390
62.464	0.0	Marker/0.0	1	15616
63.372	0.0	Marker/0.0	1	15843
64.28	0.0	Marker/0.0	1	16070
65.168	0.0	Marker/0.0	1	16292
66.088	0.0	Marker/1.0	2	16522
66.984	0.0	Marker/0.0	1	16746
67.892	0.0	Marker/0.0	1	16973
68.804	0.0	Marker/0.0	1	17201
69.704	0.0	Marker/0.0	1	17426
70.608	0.0	Marker/0.0	1	17652
71.512	0.0	Marker/0.0	1	17878
72.424	0.0	Marker/0.0	1	18106
73.332	0.0	Marker/1.0	2	18333
74.236	0.0	Marker/0.0	1	18559
75.148	0.0	Marker/1.0	2	18787
76.048	0.0	Marker/0.0	1	19012
76.968	0.0	Marker/1.0	2	19242
77.876	0.0	Marker/0.0	1	19469
78.772	0.0	Marker/0.0	1	19693
79.684	0.0	Marker/1.0	2	19921
80.588	0.0	Marker/0.0	1	20147
81.496	0.0	Marker/0.0	1	20374
82.4	0.0	Marker/0.0	1	20600
83.308	0.0	Marker/0.0	1	20827
84.216	0.0	Marker/0.0	1	21054
85.124	0.0	Marker/0.0	1	21281
86.028	0.0	Marker/0.0	1	21507
86.936	0.0	Marker/1.0	2	21734
87.844	0.0	Marker/1.0	2	21961
88.756	0.0	Marker/0.0	1	22189
89.656	0.0	Marker/0.0	1	22414
90.564	0.0	Marker/0.0	1	22641
91.46	0.0	Marker/1.0	2	22865
92.368	0.0	Marker/0.0	1	23092
93.284	0.0	Marker/0.0	1	23321
94.188	0.0	Marker/0.0	1	23547
95.092	0.0	Marker/0.0	1	23773
96.008	0.0	Marker/0.0	1	24002
96.912	0.0	Marker/0.0	1	24228
97.816	0.0	Marker/0.0	1	24454
98.712	0.0	Marker/0.0	1	24678
99.636	0.0	Marker/0.0	1	24909
100.54	0.0	Marker/0.0	1	25135
101.452	0.0	Marker/0.0	1	25363
102.348	0.0	Marker/0.0	1	25587
103.26	0.0	Marker/0.0	1	25815
104.16	0.0	Marker/0.0	1	26040
105.072	0.0	Marker/1.0	2	26268
105.98	0.0	Marker/0.0	1	26495
106.888	0.0	Marker/0.0	1	26722
107.784	0.0	Marker/1.0	2	26946
108.704	0.0	Marker/0.0	1	27176
109.612	0.0	Marker/0.0	1	27403
110.52	0.0	Marker/0.0	1	27630
111.424	0.0	Marker/0.0	1	27856
112.32	0.0	Marker/0.0	1	28080
113.228	0.0	Marker/0.0	1	28307
114.132	0.0	Marker/0.0	1	28533
115.044	0.0	Marker/1.0	2	28761
115.952	0.0	Marker/0.0	1	28988
116.856	0.0	Marker/0.0	1	29214
117.764	0.0	Marker/0.0	1	29441
118.676	0.0	Marker/1.0	2	29669
119.58	0.0	Marker/0.0	1	29895
120.488	0.0	Marker/1.0	2	30122
121.396	0.0	Marker/0.0	1	30349
122.3	0.0	Marker/0.0	1	30575
123.208	0.0	Marker/0.0	1	30802
124.116	0.0	Marker/0.0	1	31029
125.016	0.0	Marker/0.0	1	31254
125.924	0.0	Marker/0.0	1	31481
126.836	0.0	Marker/1.0	2	31709
127.74	0.0	Marker/0.0	1	31935
128.648	0.0	Marker/0.0	1	32162
129.552	0.0	Marker/0.0	1	32388
130.46	0.0	Marker/1.0	2	32615
131.356	0.0	Marker/1.0	2	32839
132.268	0.0	Marker/0.0	1	33067
133.188	0.0	Marker/0.0	1	33297
134.092	0.0	Marker/0.0	1	33523
134.992	0.0	Marker/0.0	1	33748
135.904	0.0	Marker/0.0	1	33976
136.8	0.0	Marker/0.0	1	34200
137.712	0.0	Marker/0.0	1	34428
138.632	0.0	Marker/0.0	1	34658
139.52	0.0	Marker/1.0	2	34880
140.436	0.0	Marker/0.0	1	35109
141.348	0.0	Marker/0.0	1	35337
142.244	0.0	Marker/0.0	1	35561
143.152	0.0	Marker/0.0	1	35788
144.056	0.0	Marker/0.0	1	36014
144.968	0.0	Marker/0.0	1	36242
145.872	0.0	Marker/0.0	1	36468
146.784	0.0	Marker/0.0	1	36696
147.688	0.0	Marker/0.0	1	36922
148.592	0.0	Marker/0.0	1	37148
149.5	0.0	Marker/0.0	1	37375
150.408	0.0	Marker/0.0	1	37602
151.312	0.0	Marker/1.0	2	37828
